Afghanistan;60.50416564941406,29.406105041503906,74.91574096679688,38.47211456298828
Albania;19.28249740600586,39.64472198486328,21.05416488647461,42.66194152832031
Algeria;-8.66722297668457,18.97638702392578,11.986474990844727,37.09138488769531
American Samoa;-170.82611083984375,-14.375555038452148,-169.43832397460938,-14.166389465332031
Andorra;1.421388864517212,42.43610382080078,1.78171968460083,42.65638732910156
Angola;11.663331985473633,-18.01639175415039,24.084442138671875,-4.388991355895996
Anguilla;-63.16777801513672,18.164443969726562,-62.969451904296875,18.27666473388672
Antarctic;-180.0,-90.0,180.0,-60.50194549560547
Antigua and Barbuda;-61.89111328125,16.98971939086914,-61.66638946533203,17.724998474121094
Argentina;-73.5836181640625,-55.051673889160156,-53.64972686767578,-21.780521392822266
Armenia;43.453887939453125,38.841148376464844,46.62248992919922,41.29705047607422
Aruba;-70.06333923339844,12.411109924316406,-69.87333679199219,12.631109237670898
Australia;112.90721130371094,-54.75389099121094,159.10189819335938,-10.051389694213867
Austria;9.5335693359375,46.407493591308594,17.166385650634766,49.018882751464844
Azerbaijan;44.77886199951172,38.38915252685547,50.37499237060547,41.897056579589844
Bahamas;-78.97889709472656,20.91527557373047,-72.73750305175781,26.92916488647461
Bahrain;50.45304870605469,25.571941375732422,50.82249450683594,26.28888702392578
Bangladesh;88.04331970214844,20.738048553466797,92.66934204101562,26.631938934326172
Barbados;-59.659446716308594,13.050554275512695,-59.42694854736328,13.337221145629883
Belarus;23.1653995513916,51.25184631347656,32.74137878417969,56.16777038574219
Belgium;2.5416665077209473,49.50416564941406,6.3982038497924805,51.50360870361328
Belize;-89.21640014648438,15.889850616455078,-87.77890014648438,18.48990249633789
Benin;0.7766666412353516,6.218721389770508,3.854999542236328,12.396657943725586
Bermuda;-64.87611389160156,32.26055145263672,-64.63862609863281,32.38221740722656
Bhutan;88.75193786621094,26.703048706054688,92.11526489257812,28.325275421142578
Bolivia;-69.65618896484375,-22.901111602783203,-57.5211181640625,-9.679195404052734
Bosnia and Herzegovina;15.736387252807617,42.565826416015625,19.62176513671875,45.26594543457031
Botswana;19.996109008789062,-26.87555694580078,29.37362289428711,-17.781391143798828
Brazil;-74.01055908203125,-33.743896484375,-29.84000015258789,5.27388858795166
British Virgin Islands;-64.70028686523438,18.383888244628906,-64.26918029785156,18.748607635498047
Brunei Darussalam;114.09507751464844,4.017498970031738,115.36026000976562,5.053053855895996
Bulgaria;22.365276336669922,41.24304962158203,28.60638427734375,44.22471618652344
Burkina Faso;-5.521111488342285,9.393888473510742,2.39792537689209,15.08277702331543
Burundi;28.98388671875,-4.448056221008301,30.853885650634766,-2.298055648803711
Cambodia;102.34554290771484,10.422739028930664,107.63638305664062,14.7086181640625
Cameroon;8.502222061157227,1.6541664600372314,16.20722198486328,13.085277557373047
Canada;-141.00299072265625,41.67555236816406,-52.61444854736328,83.11387634277344
Cape Verde;-25.360557556152344,14.81110954284668,-22.665836334228516,17.19305419921875
Cayman Islands;-81.401123046875,19.264720916748047,-79.7327880859375,19.762218475341797
Central African Republic;14.418609619140625,2.221259593963623,27.460277557373047,11.001388549804688
Chad;13.461666107177734,7.45777702331543,24.00274658203125,23.45055389404297
Chile;-109.44917297363281,-55.91972351074219,-66.41917419433594,-17.505279541015625
China;73.61720275881554,18.168884277343754,134.7735900878577,53.55443572998009
Christmas Island;105.62899780273438,-10.510970115661621,105.75189971923828,-10.384079933166504
Cocos (Keeling) Islands;96.81748962402344,-12.19999885559082,96.92442321777344,-12.128332138061523
Colombia;-81.7227783203125,-4.236873626708984,-66.87045288085938,13.378610610961914
Comoros;43.21360778808594,-12.383056640625,44.53083038330078,-11.366945266723633
Congo;11.140661239624023,-5.019444465637207,18.64360809326172,3.71305513381958
Cook Islands;-165.85028076171875,-21.940834045410156,-157.30587768554688,-8.948057174682617
Costa Rica;-85.91139221191406,8.02566909790039,-82.5614013671875,11.21360969543457
Côte d'Ivoire;-8.60638427734375,4.344721794128418,-2.4877781867980957,10.73525619506836
Croatia;13.496386528015137,42.39665985107422,19.426109313964844,46.53582763671875
Cuba;-84.95333862304688,19.821941375732422,-74.13084411621094,23.204166412353516
Cyprus;32.2691650390625,34.56254959106445,34.590553283691406,35.690277099609375
Czech Republic;12.093704223632812,48.58137893676758,18.852218627929688,51.05360412597656
Democratic People's Republic of Korea;124.32276916503906,37.67137908935547,130.69741821289062,43.008323669433594
Democratic Republic of the Congo;12.21455192565918,-13.458057403564453,31.302776336669922,5.3813886642456055
Denmark;8.087221145628245,54.56166076660088,15.149999618529463,57.74666595459025
Djibouti;41.75971984863281,10.941944122314453,43.42082977294922,12.708332061767578
Dominica;-61.49139404296875,15.198055267333984,-61.25055694580078,15.631942749023438
Dominican Republic;-72.00306701660156,17.54027557373047,-68.32223510742188,19.931110382080078
Ecuador;-91.66389465332031,-5.009132385253906,-75.21607971191406,1.4377777576446533
Egypt;24.7066650390625,21.72310275969996,35.81721496582031,31.646942138671875
El Salvador;-90.10833740234375,13.156387329101562,-87.68472290039062,14.431982040405273
Equatorial Guinea;5.615277290344238,-1.4794445037841797,11.353887557983398,3.763333320617676
Eritrea;36.44328308105469,12.363887786865234,43.12138366699219,17.99488067626953
Estonia;21.831939697265625,57.522216796875,28.195274353027344,59.66832733154297
Ethiopia;32.99110412597656,3.406388759613037,47.988243103027344,14.883609771728516
Falkland Islands (Malvinas);-61.315834045410156,-52.343055725097656,-57.73139190673828,-51.24945068359375
Faroe Islands;-7.435000419616699,61.388328552246094,-6.388611793518066,62.396942138671875
Fiji;-180.0,-20.674442291259766,180.0,-12.481943130493164
Finland;19.510555267333984,59.80499267578125,31.58892822265625,70.08888244628906
France;-5.134722709655762,41.364166259765625,9.56222152709961,51.09111022949219
French Guiana;-54.603782653808594,2.112222194671631,-51.64778137207031,5.755555152893066
French Polynesia;-152.87973022460938,-27.91555404663086,-134.94140625,-7.888333320617676
Gabon;8.698331832885742,-3.9252772331237793,14.520554542541504,2.3178982734680176
Gambia;-16.821666717529297,13.059976577758789,-13.798612594604492,13.826387405395508
Georgia;40.002967834472656,41.04609680175781,46.7108154296875,43.584716796875
Germany;5.864166259765625,47.27471923828125,15.038887023925781,55.056663513183594
Ghana;-3.249166965484619,4.726387977600098,1.202777624130249,11.166666030883789
Gibraltar;-5.356240272521973,36.11217498779297,-5.334508419036865,36.163307189941406
Greece;19.376110076904297,34.80888366699219,28.238048553466797,41.748321533203125
Greenland;-73.0536041258669,59.79027557373103,-12.155000686628954,83.62359619137919
Grenada;-61.78972625732422,11.996386528015137,-61.418617248535156,12.529165267944336
Guadeloupe;-63.14666748046875,15.869998931884766,-60.988616943359375,18.121944427490234
Guam;144.6341552734375,13.234996795654297,144.95330810546875,13.653610229492188
Guatemala;-92.24678039550781,13.745832443237305,-88.21473693847656,17.821109771728516
Guernsey;-2.6702780723571777,49.42249298095703,-2.5002779960632324,49.508888244628906
Guinea;-15.081111907958984,7.193926811218262,-7.646535873413086,12.677499771118164
Guinea-Bissau;-16.717769622802734,10.92277717590332,-13.643056869506836,12.684720993041992
Guyana;-61.38972473144531,1.1855554580688477,-56.47063446044922,8.535276412963867
Haiti;-74.46778869628906,18.022777557373047,-71.62889099121094,20.092220306396484
Holy See;12.464816850594383,41.87608767089603,12.504695723012587,41.910725674971445
Honduras;-89.35195922851562,12.979721069335938,-83.13185119628906,17.420276641845703
Hungary;16.111804962158203,45.748329162597656,22.894804000854492,48.57666015625
Iceland;-24.542224884033203,63.38999938964844,-13.499444961547852,66.53610229492188
India;68.13943481445312,6.745553970336914,97.38053894042969,35.506103515625
Indonesia;95.00802612304688,-10.930000305175781,141.00701904296875,5.913887977600098
Iran (Islamic Republic of);44.034156799316406,25.075275421142578,63.34193420410156,39.780540466308594
Iraq;38.794700622558594,29.061660766601562,48.563880920410156,37.38471984863281
Ireland;-10.474723815917969,51.44554901123047,-6.013055801391602,55.380271911621094
Isle of Man;-4.78861141204834,54.05554962158203,-4.307500839233398,54.416664123535156
Israel;34.267578125,29.486705780029297,35.68305206298828,33.27027130126953
Italy;6.619759559631348,36.64916229248047,18.514999389648438,47.09471893310547
Jamaica;-78.3739013671875,17.69666290283203,-76.22111511230469,18.522499084472656
Japan;122.93525695800781,24.250831604003906,153.96578979492188,45.48638153076172
Jersey;-2.247500419616699,49.16777038574219,-2.015000343322754,49.2611083984375
Johnston Atoll;-169.54388427734375,16.724159240722656,-169.52252197265625,16.73249053955078
Jordan;34.959999084472656,29.188888549804688,39.301109313964844,33.377593994140625
Kazakhstan;46.49916076660156,40.59443664550781,87.34820556640625,55.44470977783203
Kenya;33.90721893310547,-4.669617652893066,41.90516662597656,4.622499465942383
Kiribati;-172.23333740234375,-11.466665267944336,176.85025024414062,4.725831985473633
Kuwait;46.54694366455078,28.538883209228516,48.416587829589844,30.08443832397461
Kyrgyzstan;69.24887084960938,39.191856384277344,80.2833251953125,43.21690368652344
Lao People's Democratic Republic;100.09136962890625,13.926664352416992,107.69525146484375,22.500831604003906
Latvia;20.968605041503906,55.674835205078125,28.237773895263672,58.084434509277344
Lebanon;35.100830078125,33.06194305419922,36.623741149902344,34.647499084472656
Lesotho;27.0111083984375,-30.650527954101562,29.45610809326172,-28.569446563720703
Liberia;-11.492330551147461,4.3433332443237305,-7.366666793823242,8.512777328491211
Libyan Arab Jamahiriya;9.303888320922852,19.499065399169922,25.152774810791016,33.17113494873047
Liechtenstein;9.474637031555176,47.057456970214844,9.636110305786133,47.27454376220703
Lithuania;20.942832946777344,53.88804626464844,26.819717407226562,56.450828552246094
Luxembourg;5.734443664550781,49.448326110839844,6.524722099304199,50.182220458984375
Madagascar;43.23682403564453,-25.588336944580078,50.50138854980469,-11.945556640625
Malawi;32.67888641357422,-17.13528060913086,35.924163818359375,-9.373334884643555
Malaysia;99.64082336425781,0.8527776002883911,119.27581787109375,7.353610038757324
Maldives;72.68775939941406,-0.690833330154419,73.75360107421875,7.09638786315918
Mali;-12.244832992553711,10.141109466552734,4.252499580383301,25.000274658203125
Malta;14.180831909179688,35.79999542236328,14.569999694824219,36.07499694824219
Marshall Islands;162.32357788085938,5.600276947021484,172.09051513671875,14.598331451416016
Martinique;-61.23167419433594,14.402776718139648,-60.816673278808594,14.880277633666992
Mauritania;-17.075557708740234,14.725320816040039,-4.8061113357543945,27.29045867919922
Mauritius;56.50721740722656,-20.520557403564453,63.49860382080078,-10.316667556762695
Mayotte;45.039161682128906,-12.992500305175781,45.29332733154297,-12.662500381469727
Mexico;-118.40416717529297,14.550546646118164,-86.70140075683594,32.71845626831055
Micronesia (Federated States of);138.05831909179688,5.261666297912598,163.04330444335938,9.589441299438477
Midway Islands;-177.39584350585938,28.184158325195312,-177.3175048828125,28.221935272216797
Moldova;26.634994506835938,45.448646545410156,30.133228302001953,48.46832275390625
Monaco;7.386388778686523,43.72754669189453,7.439292907714844,43.773048400878906
Mongolia;87.75833129882812,41.581382751464844,119.93498229980469,52.14360809326172
Montenegro;18.453330993652344,41.8489990234375,20.382774353027344,43.55610656738281
Montserrat;-62.23722839355469,16.67138671875,-62.13750457763672,16.813610076904297
Morocco;-13.17496109008789,27.66423797607422,-1.0102779865264893,35.919166564941406
Mozambique;30.213016510009766,-26.860279083251953,40.846107482910156,-10.471111297607422
Myanmar;92.20498657226562,9.786386489868164,101.17082214355469,28.549163818359375
Namibia;11.716388702392578,-28.962501525878906,25.26443099975586,-16.952777862548828
Nauru;166.9044189453125,-0.5522222518920898,166.95858764648438,-0.4933333396911621
Nepal;80.05220031738281,26.36471939086914,88.19581604003906,30.42499542236328
